prompt,completion
"This past Friday night our refrigerator stopped cooling! We had to go the weekend without it, and of course had to deal with some unpleasant smells and throw away a large amount of food! It wasn't a fun weekend for us!", -> -> Oh I'm sorry! I would be sad if I had to contribute to the
"Oh no, I hate when that happens. I can sympathize with you because thats happen to me twice! Its okay in the winter time and you can sort of keep your food fresh but not during the summer",".  -> 

###

 It was very upsetting. -> It made my food"
"Yes, and of course we tried to call and have someone come out, but to no avail! You don't realize how much you rely on things like that until they aren't working!"," It's like having a headache reliever or asthma nasal med.  N"","" it sum up"
"Wao, you must fell weird about it! what you thinki to do about it?", -> -> I think I will have to put the dog down. He was a Authorea
"I felt bad, but she wasn't working and taking care of her grandchild, and her boyfriend was the financial support. I knew it would really be hard on her if she found out, not to mention she really loves him.", I just kept plugging away and hoping. I was worried she would find out and ruin
"I was at the mall and hug my mom and said to her: Time to go Mommy! and i wasnt her, can you imagine my reaction to it?", I was so excited because I had been running all day long and&&&&&&
"Yes, totally but at the moment i felt like the stupidiest person on earth, didn't know were to hide! and my mom was watching", her... all at once! -> -> that's bad mother included! but at least your
"Okay, a silly pet peeve but one nonetheless -- when people just leave their grocery carts willy-nilly in the parking lot. No consideration for others or the people who work at the store!", They would be fine if they allowed people to use the supplies. END OF ORDER&&&
Absolutely I agree I always try to not even bring cart unless I have too many too carry.," Try to make time for involved and satisfying, take the time for yourself!

###"
"Me too. And I will always make sure to at *least* put it in one of those cart corrals, if not walk it back up to the store. Hey -- extra exercise ;-)",")

 adoce it till it becomes a complete HUMAN being and splits right&&&"
Yes me too Now if everyone would just take our lead lol," Bristol R20 Bike the most popular road Cyro the most popular British Sporting activity

"
oh wow. Do you know whether it will be a boy or girl yet?,"  -> 

###

 -> Married this week. Just found out today. It"
We choose to wait! but the amount of happiness in my body is tremendous! never felt this way before., -> -> That' s the best way to go! i recommend making astronomous&&
"I work with different organizations on strengthening their culture, and I do large-scale visual notetaking (also known as graphic recording). Are you familiar with that at all? (Not unusual NOT to be!)"," It's a veryearchers, sort of, like the one you wrote about at the beginning"
"Actually I'm not, but it sounds very interesting and by working with different organizations, I would imagine it's also exciting and new every day."," 

###

 It's nice to having a little time off every month.&&"
"Baby belugas are cute, but not as cute as your baby!","  Born over 12 minutes ago, this elegant lady claims to be the first non- credential"
"I am not sure, it was pretty random", but someone knocked on my door this weekend and asked for a Password and waited for the answer
"Oh no, what did you do instead? Did you watch Netflix?","

###

 -> I did that, I watched a smash event movie, it&&"
I do watch Netflix sometimes.  Do you watch?,"

###

 -> I do! They just started last Tuesday! We roll&&&"
"Yes, I do. I recently watched the series ""Dark."" It's the German one.", It's great on the first ten episodes. I rarely watch anime myself because my husband doesn
I haven't heard of that one.  What genre does it fall in?,"

###

 - It's a comedy about a weird world out there. What&&"
Sounds interesting!, It will be fantastic if they accept an interesting surprising offer -> . -> It's the right
Today traffic was horrible and was so frustrating!," -> 

###

 -> I agree, I would consider turning my place into a"
The grudge scared me when I was 10 to which I couldn't navigate my own house.," The same thing goes for intangibles like that. Finally, I had an ""ex"
I can imagine! That was a terrifying movie., I recommend the original movie if it is not too far removed from my own experience. Not
Today when I went outside to check my new banana plant I noticed the new leaf was turning brown., I saw why. I always keep the same part of the garden where I canLean'
Is that a bad sign? Perhaps the plant is not getting enough nutrition or sunlight?,"

###

 -> I think its a good sign. The plant is large&&&"
"Yeah, that's a good point. I also realized he has a high malpractice insurance, and is on call a lot."," So, he doesn't waste much of the time he has. So, he doesn't"
And don't forget how many years they have to study in order to get a license for surgery,! can you?!?!?  -> -> I do. I just want to pass the
That is disgusting! What can you do about about it?,"

###

 -> It's okay, I just laid eggs because that's what&&"
You could chat to them and complain!, It should make them less hazardous! They probably already do that to you! You will only
Last week when Toys R Us closed it really made me start thinking of the 90s and my childhood,. I saw the new shipment of action figures and noticed that the Rock 'n Wrestling style
Good lord you must have had Facebook for a LONG time! I started mine in college so there isn't anything from my younger years., I find it really surprising now. -> -> I have had it for quite some time now
"I hate bullies. Playground or politics, I find them intolerable.","

###

  -> My three days of sleep were destroyed by somebody who&&&"
"Me too, bullies are part of the reason that I homeschooled.","

02 February 2019 By Partini

Houloofies are so good Will"
Good for you! Did you find other ways to interact with kids on better terms?,"

2 ->  -> Yes, I do believe we discussed things COM plete END"
They need it for other stuff. I never get a chance to save any of it.,"

###

 -> What other stuff do they need?

A new&&&"
"LOL! This is perfect timing because I had the "" You are an adult not a child"" conversation with my girlfriend not too long ago. I had left popsicle wrapper on the night stand and it got sticky. I argued if you are willing to date someone who likes to eat Popsicles in bed, then you have to deal with the consequences. ", – They said they don't argue anymore. They said they wanted to implement Miller Lite Rod
"LOL! Okay, y'all are a sitcom. I have to ask what flavor. (And yes, I side with your girlfriend. If for no other reason: ANTS. You do NOT want ants marching into your bed toward any potentially sensitive regions. Okuuurrrrrr?)",") 
 END OF LINE ) END OF LINE -> ANX?  Huh? AN"
Wow. I'm so sorry to hear that. That would be incredibly hard. What happened?," -> 

###

 ->arters, old problems, ups and conflict, etc."
"She fell off of a roof. She fell asleep and when she got up, she slipped.","
absorbed some of the sound

 e way. She is in anesthesia now. ->"
That's horrible. I'm really sorry about your friend. , -> -> i wish i could show virgo my apologies but im scared about getting into&&
"It has been a long time so I have come to cope with it, but sometimes it's still hard. I named my daughter after her. Her name is Roxie.", -> -> That's a cute name! I'm barrel- Reddit-ic...why do
That's a beautiful name! It's cool you honored your friend in that way. ,"

###

 -> indeed – she was a grate person&&&&&&&"
It really helped me heal when I was able to do that.," -> 

###

 -> That is really nice of your wife. Did you have"
Only lighters. Now we are stocked on candles ," and rhubar. It is so cold in the room.

###

 ->"
How did you do,"? Xc³"",""

thank you! I did alright. I bought over"
I ended up actually getting a 98%!," I am very glad I bought that price so much.

###

 -> You are"
That is great! My B.S. ( I always hate saying that because I have to say I have my BS in psychology) is in Psychology.," I am so relieved she rewards me with an 85 percent increase in overall."" He is a"
Do you have any pets?," -> -> Some avLOCs and cats.

They're all great wild animals!"
Yes. We got a cat not too long  ago and he drives me crazy! He's such a night owl and is always banging into stuff. , Used to play video games and watch anime on the weekends. Got used to being content free
One of the hardest times in my life was when I had to leave my husband and daughter when I went through a divorce., It was so exciting andamin.  -> -> I'm you been married for a while
That must have been really hard. ," have you seen any of your children in years now?  -> 

###

"
Well why did you have it if it belonged to them?  Did you pawn it?,"  -> 

###

 -> Because I wanted to reward my pat dog. He"
"Yeah, I guess that's fair. It happens all the time to me too. Sometimes makes me wish I was reliving those moments but I don't think I would really want to go back..","

12 minutes later and it feels completely different... sort of&&&&&&"
So sad!  I am sorry.  Don't feel too bad its natural for them to want to be outside.,  They have a good life at home!  It's best to be content with their
The flu sure makes it feel like you're dying haha,. I hope your new healthcare☺s find you :) -> -> My new helo
"Once I ate a raw oyster because my uncle offered me some and I contracted food poisoning. Things were coming out from both ends, so gross.", I felt so BOBsided in front of my uncle. I can't even imagine how
"Extremely, but it passed after a day or so. Never consume raw shellfish, unless sushi because they properly prepare it", for cooking out and uniform appearing.  They are side effects of their Crew && We're
i do not think sushi is that good too. The best option is to stop eating them in any form of food,".

###

 Neal Bragg,you are really really really really really really"
I don't think so. He wants to join the military since his dad has passed away and I'm not sure if that's the lifestyle I want.," 

###

 -> Thats what he is saying..i worry about&&&"
Oh that's too bad. ): I don't want to overstep but I always like to encourage people to hold on to their love for each other no matter what trials come up. , Sometimes people come Crossing the Ph NETWORK and they feel so good they don't want to END
I think we're going to try long distance while I finish up school (3 more years). But it's just scary thinking of it all.,"

→ moving village/traIL mary...2 different states?&&&&"
"We have dogs and chameleons together, so it's like we're already a little family haha",. Are you looking to purchase somezin stabbie ?  - Looking to add some
I recently found out the girl I love may not feel the same way. This makes me sad.," ->  -> I's okay, I'm making conscious effort to pull out all the Pegasus"
"I hope so. Maybe one day, but I am not so sure.","

###

 It is such a Berkeley Calrue name!->end&&&&"
5,""",""memberName1033327"", "" that's funny, I think I am better than"
hi are you there?,"  -> 

###

 ->!!!! I'm here! It's wonderful"
Oh my! You must have been terrified! Did everything turn out ok?,"»

She is also very motivating. We're moving next week&&&&&"
"Everything turned out fine. I think somebody in the nearby neighborhoods may have been hurt, though.","

###

 I'm going over to their property to check things&&&&&"
Do you know the feeling of drinking a mug of hot cocoa with marshmallows on a cold winter's night?,"

###

 -> I do. It's a deal breaker for me. I&&"
"You know, that is tough, but it happens to the best of us. What went wrong?"," -> 

###

 -> I wasn't pleased with the customer service I was receiving"
But you failed the exam? Did you revise?, Did you study in conjunction with the exam? Did you study the vast array of potential answers
I did not revise. Sometimes exams are failed and things are not corrected.,"

doctrines of things they are not concerned ABOUT -> :/

thank"
My mom helped me buy a car. She's the best.," I feel very grateful. 

###

 -> That is very thanks for her help"
She's amazing. Do you love your mom?," 

###

 -> I do. She's been through a lot.

"
I think that the girl of my dreams likes somebody else. I feel very sad about it.," -> 

###

 -> I know how you feel. Did she premarrah"
"ooh, am so sorry about that. Have you tried to talk to her?","

###

 Please allow us to meet?

###

 We don&&&"
That sounds tough. What do you do/,make this routine so that you can do it every day? -> -> My dog believes that
well i am a mover so i have to bring heavy furniture up and down stairs., I have a pet which likes to be at the starting and end of the material as it
That sounds like hard work. I hope you are paid well.,"

###

 -> We are! We are also working on a new unit at the"
it pays decent and feeds the kids so I can't complain.,"

+1 Found a good place to service the vehicles in our town. We got"
I watch so many scary movies that I haven't been able to sleep alone in years due to fear. ," Now, with three of my kids involved, I feel like I can do it all on"
That is such a bummer. Why did you keep watching them?,"

###

 -> I just liked the Taste ofiatuss. I think I&&"
I honestly don't know. I've always been fascinated with them since being a little girl and that fascination has never gone away.,"

###

 It was just a great book by Jason K Hunger $ coverage $&&"
I understand being fascinated by them they can be very intriguing. Maybe you should stop watching as many though. ,"

|lee ciu&&&&&&&&&&&&&"
"I've been telling myself that for years, I just have no self control. What are your favorite kinds of movies?", -> -> My all time favorite film is The Mouse And The loyalty. I have&&&
I like scary movies as well so I know how addicting they can be.,"

 tempo, characters, anything that seems like a possibility is a good thing. ->"
What is your favorite scary movie at the moment?," I actually saw Road Kingdeon recently! 

###

 -> I like adult"
Donald Trump is now the president. It makes me feel bad about life.," -> -> Life will go on.

Life is good now.

It is"
"Oh yeah, Donald Trump is such a charlatan. He has some really shady history too. I'm actually a Christian and a conservative but I'm appalled that everyone on the ""right"" have fallen for this guy. He's so against what the real conservative values are supposed to be."," End of,.""

 -> -> I think we've all beeneden for once, lets"
"I agree. I am glad real conservatives are in opposition to him, too.", -> -> I like what Kindils has done so far. I hope it continuesWARDO
Absolutely. I love to hear my mámá tell me stories from her childhood trapping nutria and trawling with her family.," It's been a fun picnic"".

She is now a professional naturalist. "
I recently found out that the woman of my dreams like another. I am incredibly jealous of him., -> -> I would be worried about the women of the world if that were the case.
:( I'm very sorry. Have you tried telling her how you feel? That could affect her decision., I'm sure it'll work out in the best way possible. It's just something to
I have not told her as much as I need to. I am trying to build the courage.,"

But, every time I get it, it end&&&&&&&"
Well did you have any story or anything that you had in mind that you wanted to tell me? I told you a story of mine before so you owe me haha., -> -> No. I put my phone down on my phone and got it Rebirth Mode.
Nice people are the best. Empathy is something we all need more of!, -> -> My brother recently had a heart condition and I have been working hard to&&&
My father almost died. His recent health problems have been devastating.,"

###

 -> That must've been very devastating for you. Have you&&&"
"That's so sad, I hope you've gotten over it.","

###

 -> I am doing well. I have a good job and&&&"
"It is tough, but I think I will make it.", Gambles are my only chance. -> -> Good luck :) I am certain you will survive
"No,u don't have to be ", but should respect her rights.  -> She is a human being. -> That's true
It makes me feel inferior. Hopefully I will get over it.," -> 

###

 

Update: I have now got all the required"
That is very special and I am so happy for you.,"

###

 -> She was a Apple Anrecorcco.  I&&"
I stole my friend's Pokemon card when we were 7. I still feel guilty about it.," -> -> I think we might actually do Wonders.

did you find theRegular&&"
I one time lost my trunks in the pool! People saw me in a way I didn't want!," I knew I was relating to thetrorts, but everyone Comments on People Melo Basketball"
Oh no! That must have been super embarrassing! How did you react to that?, -> Was there a following day spend that area to give? That must've been a meg
Having the whole house to your self sometimes isn't as good as it may seem!,"

Prompts and all that jazz. ->positive:) -> I think,"""
I can imagine the loneliness someone can experience.,"

###

 I hope everything works out for everyone in the end. -> I&&"
My son really needs to cut down on the amount of sugary snacks he has!," -> -> That should do a good enough deed.

rianskiak
actress"
Who is supplying these snacks? ,"

###

 -> My son's prop Hannuki Lanterns.

That&&"
"Well, my wife gets them on deals, so likes to hoard them in the cupboard. "," I think it's because she's the Exceptional Woman...

10% Favorite Recipe"
the house is very quiet now that she's been gone for four days visiting with her family,. I feel like a complete sch.[sub]b.[sub]b.[sub]
because she hasn't seen them in almost 2 years. Misses them," are unreal, they are never the same.  Do they get cpser charges? "
That sounds horrible. You must've been mad.," 

###

 I'm sure she was happy to get the job at the&&"
"Well,it can happen like that atimes",".

It still hurts. But at least he has a good memory because then&&"
Have you ever missed out on a promotion?,"

###

 It could be good thing if you Live Wage employers? -> Yes I"
My wife cried quite a lot at her mothers funeral. They had a very close bond.,"

###

 Some people like to stayeny and console after a passages.&&&"
am sorry to hear that. what happened to the mother,"? ->  -> She was really worried about the food, but the restaurant was sort of"
"Unfortunately she passed away, hence the funeral.","  Is she still in the area? -> 

###

 -> Yes, she"
CEO of Apple. I figured they need a Steve 2.0 to take them forward! ," -> -> I agree, they are so Chairman of the Board.

I think they"
My son is such a rascal! He took my car for a joy ride!, I had to take it to the store to secure it! I also ordered a new car
Oh my god! How old is he?," -> 

###

 -> He is 32. He was way too old for this"
He's only 13! I didn't even think he had that in him!, Those are the days... figuring out how to lead a jawed puddin' is such
My brother...Dating an A list supermodel... I don't know what to think!, -> -> What do you think? Is it crazy? I hope it works out for you
Really? What makes them A list?,"

###

 -> These women are just wnt to have a good life
&&"
He's dating Kylie Jenner. Have you heard of her?," 

###

 -> I've never been too close to her. What do&&"
Yeah I have lol. What's your brothers name?," -> 

###

 ->named after someone famous  so i simply&&&&"
"Not being able to fit into an old wedding dress, is one of a womans worst nightmare.","

###

 She must be grateful to have been able to splashing off the&&"
"Oh wow, I can imagine. How old was it?","

###

 -> It was 26 years old. She was on her own for&&"
"The dress was a few years old, I couldnt believe it didnt fit."," Not bad! -> But, that was due to my broad, unspecial frame. ->"
Starbucks always get's my order wrong!, I always over- order! Over seas I have found that it works the same - I
I like Starbucks. But they're a little expensive for me to go there often.,"

###

 -> I think they ought to give they ACCOUNT Citizens bankney win"
They definitely are expensive. What's your favourite drink to get?,"

###

 -> Tea and coffee.

 The real deal stinks*** but&&"
My pizza I bought fell all over the floor on my way home!,"

###

 -> Yikes! What did you do? Did you lose your money"
"Wow, that will be so devastating for you",". I hope you hang tight for the next hour or two! -> 

###"
The pizza was from my favourite pizza shop as well! Quite the sad moment.," -> -> I know me will find it restored soon enough.

ekerthinoel"
"So, how did you now do it",? -> -> With a pressure pack and a new technique I have learned I have no problem
"She made me pay twice what they would have sold for at the bake sale. The cookies were for charity, you see."," She's a yummy woman. ->  -> Some people have bad feelings

I"
Just my luck I step into a huge pile of dog mess...,and a fox chases my tail...and the jackass just injures my plant...
"Dang, I hated that. At least it's not cow poop, that's worst. ","

Something to be thankful for. -> 

###

 -> Eastwest expansion"
"That is true, cow poop is much worst! But I was wearing brand new Gucci flip flops! ", So I Hurl Saran suan sacs oooh gra not applicable… But
"The key to making good chicken and rice, is following the recipe precisely ", – and Navalny recently struggled in front of the Russian AGREE court and hasn't benefited
My son failed his exams! Can you believe it! I don't know what to do!," Made me Scout's H Convertibles, Dreamers, etc lol -> -> I hate it"
"don't panic, and don't be harsh on the kid. perhaps spend time going over the subject together? or maybe he's having other trouble that's affecting his studies",". 略

丁 NH&&&&&&&&&&"
He spent all his time playing football instead of studying! I warned him about this!," But it really got me, as I was very happy when he graduated in 2017! Even"
"had to hitch hike. made it on time for check in though. now the cars been in the shop 4 days, no progress. kinda getting worried about it", all. ->  -> You shouldEast Coalingated (bang bang) castle convercover
"Thats amazing, congratulations. 12 Kids your amazing.","  I'm so happy for you. ->  What drove you to celebrate?

"
"Some times at night, I can hear some shouting ""AHHHHHHH"", ""HEE HEE"". ", &&&&&&&&&&&&&&&&&&&
"No, the spooky thing is... I think it's the ghost of Michael Jackson. I even saw him dancing to Billie Jean.","
&&&&&&&&&&&&&&&&&&"
"Oh,will u be going to pay him a visit?"," 

###

 -> Yes, I will visit him tomorrow at 1AM. I"
yes it is. I am very happy," for her.

###

 She has been through a lot. -> I'm glad"
"I know! This one was absolutely huge, almost human sized. Chased me for a whole hour. The more I think about it, it might have been the batman! I shouldn't have stolen those diamonds!", Sorry for the theft.) I gave them to my family back home and shortened their life PR
"Once during an important school sporting event, my entire sports team was counting on me but mid-way through my event, my shorts fell down and I tripped ",over a fellow student. She stepped in theasin her path and somehow ended up being able
for real? that must've been embarrassing. Sorry to hear about that,. -> -> 2oh yea yea adulthood included set in stone but still BEFIV Det
I love youtube. been listening to all my classic tracks. Tupac forever," doesn't cover youtube lol


### - i really liked him . -> Yes, he"
"When I was younger, my dog died. He was getting up there in age, but he was still on the young side. Later, we heard the pet food we had been feeding him had been recalled because of similiar fatalities."," 

###

 I was quite shocked at the levels my dog reached.&&&"
Seeing people who have less than me just makes me so grateful for the blessings I have been given,"..""

She's a smart woman. She's a billionaire. She's&&"
absolutely! Always give to people who have less than myself :) ,"

###

 -> Thanks. Me too. I really really appreciate those who have&&"
hiding for almost 2 years but I'm still not over my paranoia that one day I will have to pay for what I did. Don't ask what it was, like to actually do it- just wait and see what happens! -> -> Thanks a lot
"You must feel awful,  Why don't you come clean, maybe you will feel better."," 

###

 -> i know i can't convince her to leave me alone,"
no way. I just pray she can forgive me. I could never admit to this sin. Jesus save me,".

-> -> You will get it allCooldown,ice,cliffe&&&&"
"He deserved that, I think.","

###

 He is a good kid. -> Oh I see. Well good&&"
"Yeah, I was pretty amazed in the moment, he was flat as a board in mid air before he landed flat on his face. I had to watch for a moment in awe, before I realized he was getting up and I was about to get smacked. So, I ran towards where the parents were seated, stopped when I turned the corner, and walked calmly over to my mom, taking a seat on her lap. I looked innocent as could be as the mean kid came around the corner, and I forced myself to sit still so that when he smacked me in the face with the hoola hoop, I looked like a helpless victim."," Just about the best parent I could have asked for. 

###

 -> It"
"Wow, you must have felt jealous","!

###

 -> Yes, I really picked that pre- morning lecture body to"
"So, what was she lying to you about?","

###

 Did she talk about something else that happened to her?&&&&"
Oh no how horrible," that is !!!!

###

 -> It was great, I couldnt stop laughing"
ye and so I had to leave the country because of her,.  I love her so much I want to believe she was honest with me. ->
Public school really sucks sometimes. Making boys shower all together. I didn't want to but had to or else fail PE,. All failed at once.oS'rsleaze'. ->  -> That's some
yes. Well it was a long time ago but I haven't forgotten,". I often find myself thinking about her when I'm buried.

### // It"
Now the remake is well on its way. Maybe it can lift this depression I feel if they stay true to the story. Jason Mamoa isn't bad looking, - he's a hard man to army.  I think the reboot will be just fine
I had to adapt to life. I had to change to survive. Now I feel better," than when I am done.""

He's a smart man. I can't help"
I recently found out a good friend of mine has been cheating on her fiance for years., Now she has gone to the highest profile interest land on Earth to try and rescue her friend
How awful! how do you feel about it?,  -> -> I don't think we'll regain our peace until we put anAlpen
I wasn't confident. Now I regret not punishing him. , -> I think he will realize his mistake soon. -> You should always tell the truth when
I feel happy about the new house I have and that I can work from home. Thanks be to God,. -> -> Oh that's great! He gives you new riches and a new leverage to
It took me 9 months of determination and sacrifice. But worth it.,"

###

 -> That is so great I have never kept this pilgrimage damn&&&"
I was distracted by the sound of running water., I turned to see a much grander scene than that! -> -> Where does your home
"Hi, I have applied for a driving license thrice and I have failed in all the thee"," and one positions.

###

 So far I am not proficient with the technology and"
I am so sorry to hear that! Is there a particular section you are having trouble with?," -> 

š -> Yes there all kinds of different children, we are trying to"
"Yes, I am a little uncomfortable driving backwards. I just can't do that.", Lots of people rely on leesh 2012.  ->  -> I think that's a
every time I try not to hit that cone but those are so close., I think we'll go liquid...or coffee... or coffee and dough esses... lol
"I still can't believe my life is where it's at, especially if you look at the past few years. I would never believe you if you told me I would be here."," But thanks to you, I have found my path and am successful. Some people say it"
"Well, for many years I was an alcoholic, working for near minimum wage in kitchens. But that all changed when I was accepted to University!","

###

 -> That is fantastic I always have been an alcoholic.  Glad&&"
Hmmm! That is just annoying being an alcoholic. I purely understand your situation as I have gone through it. Well! life goes on., && is what it really matters? It matters what it takes.  It gives you&&
"It does. I worked really hard to pass the acceptance tests, and I couldn't believe when I passed with flying colors!"," -> -> Congratulations! Im so proud of you, you must be so

&&&"
Have you everr been in a fist fight with anyone?,"

###

 -> Yes, I have been in a fist&&&&&&"
