prompt,completion
Oh what job was the interview for?," -> IT job. But the interview was tough and I still am trying to decide.
"
"Did I ever tell you about the time I ""got taken hostage""?"," It was back in the day, so I guess finances had decreased my social life, but"
oh my  are you really serious?," -> Nah, just as a prank. I did hide in a wooded area for"
"As a heart attack. It was me and Big C at the World's Largest Pistachio. All of the sudden we hear gunshots, and DiDi's still in the car. We ran in the building, and he comes flying in after us. He never pointed the gun at us, and we ended up running away when he was distracted. It's too crazy - I can't make this up. Just glad to be alive!"," -> Well thank you for sharing! sounds like you really loved DiDi

good memories"
"I went to visit a friend one day and her boyfriend made a pass at me. He actually suddenly kissed me, as I was waiting for my friend to return. I couldn't believe his nerve!"," -> That would make you want to fight him. Did you fight him?

Do"
"Yes, and of course we tried to call and have someone come out, but to no avail! You don't realize how much you rely on things like that until they aren't working!"," So, I guess this is the true test of whether or not I have ""the dog"
"Yes, totally but at the moment i felt like the stupidiest person on earth, didn't know were to hide! and my mom was watching",". -> Did he get audited?

maybe that's what made the room furry"
"Me too. And I will always make sure to at *least* put it in one of those cart corrals, if not walk it back up to the store. Hey -- extra exercise ;-)", Getting everything done with boxing gloves is a great way to take your stress out! -> Exactly
Yes me too Now if everyone would just take our lead lol,  -> Haha - I'm with you on that one. Even yourself puts you ahead
"I came home, and my wife showed me a picture in 4d of our future baby, my heart speeded so fast!", -> Ooooh! That's a sweet thing for her to do. It's worth
oh wow. Do you know whether it will be a boy or girl yet?," -> he's been really crappy but we put into the mix two more

prent"
"I love being in the ""flow"" -- whether it's in speaking to a group of people or working to help facilitate meetings."," -> I am very grateful it happened

My work life is out of control.
"
"Baby belugas are cute, but not as cute as your baby!",  That's what I'm saying. He is supposed to have 35 minutes to clear up
"No, nothing at all",". I was shown some bad ones, and thought all of the good ones. I have"
"That is a shame, you need to learn from your mistakes.", Financially Im square aerologically i have been very prosperous so far but ive done
"Oh no, what did you do instead? Did you watch Netflix?", -> It was Saturday Morlocks day flock from terrors. It totally lured me to the
I do watch Netflix sometimes.  Do you watch?," -> I do watch Netflix.

Was it good or bad?

It was"
"Yes, I do. I recently watched the series ""Dark."" It's the German one."," It's actually a little old anime series

Gunman Ironback People who have gone"
I haven't heard of that one.  What genre does it fall in?,"

sword and bottle of truth

That is a very fast and scary movie,"
It's a supernatural mystery type. I won't spoil the twist.," -> put it on hey dang internet lol

- you should be confident about it"
Sounds interesting!," I love history! Which games do you like? -> I like American Football, as long"
"Yes, I actually ended up winning it and they gave me 6 months of unemployment pay.", I just wasn't thinking about it at the time. I needed it!! -> That is
Today traffic was horrible and was so frustrating!, -> i know what you mean. i live the south so portland is the opposite.
The grudge scared me when I was 10 to which I couldn't navigate my own house., He did the same at one of the biggest known shooting places in the city. Nobody came
And yet I still felt as if I had to see the sequels when they came out too.," -> You are not gambling but I would still have fun with the sequels, they are basically"
I don't think that's the problem. I am worried about a drainage issue. I'm going to check back in a couple days., Did I mention I'm HIV positive? -> Good to tell there is hope for you unfortunately
"Oh, I see. I am not much of a horticulturist but it makes sense that it could be over-saturated.", Tho many parts take forever.  -> Fingers crossed it works out. I'm
And don't forget how many years they have to study in order to get a license for surgery,! Hang in there! -> I know they will be on the inside next year anyway.....
That is disgusting! What can you do about about it?, -> I don't know what to do about it. It's been bothering me for the
I'm not sure. What would you do?,"  -> What do you mean by that? What is wrong with you?

Are"
How old are you? Were you a child in the 80s? I am 30 so I grew up during the 90s.," -> NO I AM A GRANDPRINSTILL OF 20AG

A FRIEND"
I am 33 :)," It is harder but in the end, one of us will make it. -> Double your"
"I hate bullies. Playground or politics, I find them intolerable."," -> I think if you're a celebrity, this kind of person would be normal though so"
"Me too, bullies are part of the reason that I homeschooled.","

US Flanki hu miiiiiight be able to bust their butt"
That's not nice of them. Why do they keep taking it??," -> Maybe I should mention that I tried in the first place, then I try it again"
"LOL! This is perfect timing because I had the "" You are an adult not a child"" conversation with my girlfriend not too long ago. I had left popsicle wrapper on the night stand and it got sticky. I argued if you are willing to date someone who likes to eat Popsicles in bed, then you have to deal with the consequences. "," -> Yeah, the punishment is punishments when you least expect it.

I am sorry"
"LOL! Okay, y'all are a sitcom. I have to ask what flavor. (And yes, I side with your girlfriend. If for no other reason: ANTS. You do NOT want ants marching into your bed toward any potentially sensitive regions. Okuuurrrrrr?)", Did you make a parachute balloon? sounds like you are a little earnest about these. Did
The hardest time in my life was when my best friend died on Christmas of 2007., I have had the time to do so enough to find it quite difficult -> Thank goodness!
Wow. I'm so sorry to hear that. That would be incredibly hard. What happened?," -> This bar wasn't into the music, Apparently the DJ was just not into them,"
"She fell off of a roof. She fell asleep and when she got up, she slipped."," She is ok just diagnosed, but still so afraid. -> That is certainly a scary experience"
That's horrible. I'm really sorry about your friend. , -> I know. I fought back tears but she was gone so I just stood there and
"It has been a long time so I have come to cope with it, but sometimes it's still hard. I named my daughter after her. Her name is Roxie."," -> Do you miss your first daughter?

I do not know what that is not"
It really helped me heal when I was able to do that.," -> That is a great idea. 

My friend, Kim Kardashian, was able"
It was raining hard one night and the power shut off, so I had to go get coffee... I just ended up taking my coffee to myself ->
Did you have candles or a flash light to help yous see?,  -> The candles. My mouth was on the floor when I saw her hahaha
Only lighters. Now we are stocked on candles ,"
This is amusing? Were any businesses not honoring their own rules? -> Oh no,"
I ended up actually getting a 98%!, I wasn't sure I had it because I was pretty nervous. -> Holy cow! That
That is great! My B.S. ( I always hate saying that because I have to say I have my BS in psychology) is in Psychology., She's so smart! I don't think I'll be wasting my $600 attempt.
Pet? Like dogs and other?,"  -> A 4 month old Monin!

What is your favorite future cat pet"
I am so sorry. I can't imagine what you must have went through.," -> Not a lot.It ended up with him getting his license thanks to her

"
I felt like I had no one. The two people I loved most in life I barely saw and was disconnected from.," -> It's so hard can't it. I've been there too.

Hopefully"
That must have been really hard. ," -> It was, but you know how you find out but you still feel bad because it"
"No, they bought it for me. I think I was going goodwill it and she grabbed it back. lol She said she wants to pass it onto my daughter someday so that's sweet.", -> I'm sure that was super heartwarming. My grandmother basically cheered me on until
Oh no!  What happened to it?," -> It was basically smashed

looks like

a heat wave really kicked in"
Did you get sick afterwards ," -> I did, but I the store manager made sure that the candy bar was put in"
"Extremely, but it passed after a day or so. Never consume raw shellfish, unless sushi because they properly prepare it", for human consumption. They are sasty. -> I've never had sushi- but I
i do not think sushi is that good too. The best option is to stop eating them in any form of food," now. -> i do like the filling but in crunch form, the sushi puffs are"
I am so sorry to hear that. Is there any chance you might be able to reconcile???," -> Yes I have plenty of time to do that seriously.

Don't want to"
I don't think so. He wants to join the military since his dad has passed away and I'm not sure if that's the lifestyle I want.," -> Well, you have to do what you think is best. Just be patient and try"
Oh that's too bad. ): I don't want to overstep but I always like to encourage people to hold on to their love for each other no matter what trials come up. ," You really deserve that

What's a good go to restaurant that you go often?"
"I think that's good! If you are meant to be together you'll feel it and it will work out I think, if you just keep your conviction and stick with it. Good luck with it! ", best of luck. -> Thanks. Keep up the good work! I look forward to hearing
"We have dogs and chameleons together, so it's like we're already a little family haha", . Then in summer we have a gardening club where I am some of the novices
"So sad,you can never force someone to love you. You will find the right person for you.","  -> Love is a stage that you have to be on your journey

I am"
5,"e0d0 -> What is that reward then?

That's super cool."
Oh my! You must have been terrified! Did everything turn out ok?, -> That and I was sick which made it way longer driving time before I found out the
"Everything turned out fine. I think somebody in the nearby neighborhoods may have been hurt, though."," Everyone else is ok. -> What an amazing feeling to see everyone alright!

I"
"I live in a place where it only snows once in 10 years. So, i think i am passing on that",".. -> That does sound like a pretty good...cold...life...

I currently"
"Nothing went wrong, we just have different lives in different places. I go visit every now and then.", We talk and sometimes I return the compliment -> That's really nice. If we both lived
I did not revise. Sometimes exams are failed and things are not corrected., I feel embarrassed when I think about it. -> Yep. Im not the best at remembering
That is great that you have an awesome Mom!, -> Thanks!  I love having parents who care about them so much.  That was
well i am a mover so i have to bring heavy furniture up and down stairs.," its exhausting -> Yes, I am really thankful for your expediencies. 

Do"
That sounds like hard work. I hope you are paid well., -> Yeah we're paying a lot of wages and benefits and housing expenses.  Still need
it pays decent and feeds the kids so I can't complain.," That's nice. -> You really should start saving, I know it will be worth the"
I watch so many scary movies that I haven't been able to sleep alone in years due to fear. ," -> It's great to have time to watch movies alone, but I would be scared too"
That is such a bummer. Why did you keep watching them?," You bought them on a spur of the moment, didn't you? -> Well I bought"
"I've been telling myself that for years, I just have no self control. What are your favorite kinds of movies?"," -> My favorite kinds of movies are true crime and r/n self defense films.
"
I like scary movies as well so I know how addicting they can be.,"  It was pretty good I think with the show it was a challenge. -> Yes,"
What is your favorite scary movie at the moment?, -> Deep burly bass in the woods. and michiel mcmanus ready to
"Oh yeah, Donald Trump is such a charlatan. He has some really shady history too. I'm actually a Christian and a conservative but I'm appalled that everyone on the ""right"" have fallen for this guy. He's so against what the real conservative values are supposed to be."," -> Yeah, he is inconsistent on many things also

But as I read him I"
I recently found out that the woman of my dreams like another. I am incredibly jealous of him.," -> Is he what you want?

or did you find out earlier this week?"
I have not told her as much as I need to. I am trying to build the courage.," I have been playing it very conservative for the past couple of months, but it's just"
How long?," What do expect? -> 2 hours and 90 minutes, its my favorite show!

"
Well did you have any story or anything that you had in mind that you wanted to tell me? I told you a story of mine before so you owe me haha.," -> I have about five stories all in the works for now.

I have a"
"It is tough, but I think I will make it."," -> keep abreon to your heart...good luck

05 December 2016. best"
"No,u don't have to be ",ill to be happy -> I've been really busy so I hadn't had time to hang
It makes me feel inferior. Hopefully I will get over it., -> If you get ahead of there you won't mind me asking. If you spent the
I recently met a new person that I am very fond of. I want to give her my love and care.," -> That's great. When a new relationship starts, you have to pay back. "
That is very special and I am so happy for you.," -> She is the first girl I've ever dated. I'm tickled pink lol
"
"Wow, 7 years? You were really young then",. All your memories are different now -> It was fun at the time but now I always
Having the whole house to your self sometimes isn't as good as it may seem!,"

Have an honest review of dogs because photos can't describe how loving and amazing the"
My whole family is out the house for a few months. I'm going to be so bored with no one around...," -> Be relaxing sounds great.

I do that a lot of times, just to"
My son really needs to cut down on the amount of sugary snacks he has!, -> Don't get over done on sugar. It stokes the blues. I'm a
Who is supplying these snacks? ," -> My daughter, I want her to eat more during a storm

- that make"
"Well, my wife gets them on deals, so likes to hoard them in the cupboard. ", Well.. I guess she's been a terrible wife and really doesn't know how to use
the house is very quiet now that she's been gone for four days visiting with her family," [ -> Indomitable temperament that she has always had, you should cherish that and keep"
why did she go visiting?, -> She went because she didn't feel at home here and wanted to go visit her relatives
because she hasn't seen them in almost 2 years. Misses them," have a huge affect on kids. Last year, I didn't even have a daughter."
"In the middle of the station, on my new suit, a seagull threw up on me!"," i asked some people to rescue it -> Oh no, that's awful.  I hope"
I was! I had to travel all the way home with a huge mess on me!, She said I did that for a reason. -> That must've been fun. What kind
I can't believe someone half my age got promoted instead of me!," -> Oh, yeah. Marketers are generally pretty laid-back. Make some more collateral"
"Well,it can happen like that atimes"," haha. -> I agree. They shouldnt have quit in the first place. 
"
My wife cried quite a lot at her mothers funeral. They had a very close bond.,  -> You must have been very proud of her. Did anyone in your family attend it
am sorry to hear that. what happened to the mother,"? -> She passed away. Not sure how to cope now. 

Just a"
Getting this new job should be easy. I am easily the best person that applied., -> You are. Joyful is a better person and I have truly listened to you 
CEO of Apple. I figured they need a Steve 2.0 to take them forward! ," -> Really I can understand that, but that is a huge position for someone to be in"
My son is such a rascal! He took my car for a joy ride!," I am so ashamed. -> That is tough, I hope he backs it up soon enough"
He's only 13! I didn't even think he had that in him!," He's awesome, I am so proud of him. He has had no training before so"
My brother...Dating an A list supermodel... I don't know what to think!," -> You gotta love that. Or hate that. What did he do?

A"
He's dating Kylie Jenner. Have you heard of her?," -> I know of her, I've never seen her before.

Oh god,"
Have anything to tell me about?," -> Why do you want to hear about something about?

Yeah i know it's"
"Oh wow, I can imagine. How old was it?"," -> It was who I thought it was that I saw, I was quite shocked.
"
"The dress was a few years old, I couldnt believe it didnt fit."," -> Are you upset about this?

Or one of the other places that should have"
Starbucks always get's my order wrong!, -> No it doesn't! It's the same thing everywhere and alcohol company do same thing
I like Starbucks. But they're a little expensive for me to go there often.," -> Oh i can imagine. I go as often as i can too !

*"
They definitely are expensive. What's your favourite drink to get?," -> Diet coke and Guinness.

God.

Won't you please"
"Wow, that will be so devastating for you", and your family. Enjoy your time there now and stay strong. It's gonna be a
"So, how did you now do it","? -> I felt very bad when I failed

It's such a shame that I"
Why does McDonalds always get my order wrong! I said no lettuce!," -> dang good ant copying can be tough sometimes, slowly working through it makes things a"
"That is true, cow poop is much worst! But I was wearing brand new Gucci flip flops! "," -> Just think, they didn't intend for a Gucci Sneaker to be such a"
"The key to making good chicken and rice, is following the recipe precisely ","   that most recipes will turn out good. I agree, the trick is to follow"
"You've got to cut up all the ingredients, and put it in small containers, before finally cooking all at once.", -> That is a good way to cook something! I have never used a demitasse
"thanks. no mistake about it, it's a boy! lol. Takes after his father ;)", -> It must be nice to have a little bump in the head to have your little one
"don't panic, and don't be harsh on the kid. perhaps spend time going over the subject together? or maybe he's having other trouble that's affecting his studies", when parents shouldn't have to be burdening themselves. -> If it's something about his
oh no! that sounds annoying. Did you end up getting help?,"-> I did, with a good Behavior Medication and a lot of patience. The experience"
"My son was just born, my first boy after 11 girls!", -> That is crazy!  Are you having three children?  I know everyone has three
"Thats amazing, congratulations. 12 Kids your amazing.", My boy dating our 16 year old! you didn't even know kids meant ppl that
"Oh,will u be going to pay him a visit?"," -> Of course I will.. I'm going to try to get in contact with him
"
"I can't visit him. I've had to flee the country. We were robbing banks together, and he got caught with half the cash. I'm currently in the Bahamas."," -> I am sure He will eventually get around to seeing you!
First offor i"
4 months later he will be here. It has taken me around 3 months to save up enough money to be ready for him when he's born,". -> That's a long time I understand you may have to wait a while

"
Is this your first son?," -> Yeah, but he's just my nephew. I figured I'd take my younger one"
holy Moses! I hate them things. Flying rats is what they are.," Aww. Made me so sad. -> I love my couch, always cause it's"
"I know! This one was absolutely huge, almost human sized. Chased me for a whole hour. The more I think about it, it might have been the batman! I shouldn't have stolen those diamonds!", Dude work hard earned kudos or you should win a prize Fright Night for stealing one
for real? that must've been embarrassing. Sorry to hear about that,"

yes

I had to take some drugs to make me feel good he then"
"yea! it was! I thought everyone would be annoyed at me but the next day when I went back to school, everyone just made it a joke so its alright. This was about 5-6 years ago now haha"," -> Ha, I forgot how much gravity suck. It's hard having to juggle school"
"When I was younger, my dog died. He was getting up there in age, but he was still on the young side. Later, we heard the pet food we had been feeding him had been recalled because of similiar fatalities.","

My mother lamented to me that those were the days. >.> I understood"
Seeing people who have less than me just makes me so grateful for the blessings I have been given,". -> Yes, I think we all feel those things. I'm glad you are grateful"
hiding for almost 2 years but I'm still not over my paranoia that one day I will have to pay for what I did. Don't ask what it was, -> That always happens. I hate when my rent feels like its going to pay itself.
"You must feel awful,  Why don't you come clean, maybe you will feel better.", -> I love being honest with her about what is wrong. We are married for 20 years
no way. I just pray she can forgive me. I could never admit to this sin. Jesus save me,! -> Haven't you figured a way to get her to at least understand? Maybe she
"Wow, you must have felt jealous",". -> This is what I got..

Groceries, clothes and living expenses"
my instincts are never wrong. I found out her lies when I checked her facebook chat history. ," It showed me how manipulative she can be -> Oh, that's terrible... I've never"
she arranged to meet up with her ex to return his t-shirt! why do that behind my back? we had just started seeing each other. Made me so mad, -> that is some woman! And falseanding things. why would you do something like that
Oh no how horrible,". Did it mess with the process or anything? -> No, it was processed quickly!"
I hate public schools ooo,"oh I hate public schools of all the places I go, but especially Philadelphia Public Schools
"
Now the remake is well on its way. Maybe it can lift this depression I feel if they stay true to the story. Jason Mamoa isn't bad looking," or anything, quite the opposite actually.  -> I cant wait to see it! It"
I recently found out a good friend of mine has been cheating on her fiance for years., -> Thats so sad. Has she been Working with the guys for a cheating partner?
How awful! how do you feel about it?, -> someone stole my parents prized watch and they never notified the department that they lost it in
Very angry and frustrated that she would behave that way. It makes me think less of her as a person.," -> yea i know what you mean

its okay to be mad 

but"
I wasn't confident. Now I regret not punishing him. , -> Maybe you can give him some punishment like chicken.  I bet he would be more
Ah! That's quite understandable. It is tricky at first and non-intuitive. I practiced driving in reverse with cones in an abandoned lot. ," -> That was great! I think it's just a matter of practicing, getting used to"
every time I try not to hit that cone but those are so close.," -> Thats understandable, hope you win though

hope you won't go downhill"
Thats creepy honestly,", but is that what the Russian government does? -> Yeah. It didn't seem random"
It was just very creepy situation,", so it could make you scram nearby.  No airbnb understands the importance of"
it took 4 years but at last got it, done are so proud of him -> That is amazing it takes so much effort to get that
Have you everr been in a fist fight with anyone?, -> Yes. I remember exactly what I was like when I did it with my then employer
"Yes, Several times in my life. Mostly me and my older brother when we were younger.", But he was a horrible actor and I struggled with hanging with him then. I used to
I haven't heard of it,", but the FA Cup Final between Gillingham and Sunderland can be watched this weekend."
Have you ever eaten at Hardee's?," -> Yes, I eat there quite often.

Do you refridgerate them"
One of my favorite places to eat. I love the swirled ice cream cones.," -> Oh yeah I too love those bad, I know it sounds gross but I remember my"
"I like it too, but I'm not a big fan of their new sliders. They're so tiny, and just one of them cost almost 2 dollars!", -> I\'ve been looking for frozen yogurt shop that has some that too.  Usually
Have you ever had a sleep paralysis dream?," Yes, I have had one that was really bad- My husband and I woke up very"
Yep! Not really that fun to have since you see things at times., -> Or know a person that went through it. I feel bad because we live in the
"Yeah, in mine I saw a smoke looking shadow over me with red eyes staring at me. I've never been more scared in my life."," -> Oh no , how long ago was it? Did you dump it by any chance?"
I'm going overseas and I think I packed everything i need! ," -> Where do you go?

I been to overseas, I spent a few weeks"
Going to Kazakhstan. That's where i was born. My parents still live there and i miss them so much,". -> That's amazing, how did you ever get to live there?

C"
"Yes, she actually had a legit reason so I couldn't be too mad at her.. She definitely made it up to me!", -> Sounds like a good friend.  I'm glad you two were able to bounce back
"Actually that has happened to me, during Thanksgiving",". I've always sent the kids in peace, gave them snow and left a very affection"
It sure can.  When I decided that I wasn't comfortable driving in such deep snow I literally turned around and went home., -> Sounds like a smart decision. I would have gotten back on the road before getting too
It does definitely get easier over time I suppose.. Now that I see my life I guess it was for the best.," -> Yes it does, it's good to try new things and new experiences.

"
why'd you steal it ,"angling it away, really? -> Well, I had been saving it, and I needed"
"My girlfriend recently went on a business trip for a week, I was very lonely during this experience."," -> You were lonely? You and your girlfriend?

Any chance you two were holding"
I mainly just played video games and watched tv., what was your all time favorite childhood material? -> Daredevil by Netflix. IT was kinda enjoyable
"That sucks, why didn't you find a new apartment?", -> I have found an apartment just down the street but it's a good one that's
"Because here in my area in Florida, there isn't too many options for me.", I can go without having to be physically stressed. -> That's cool. Maybe you should
What did you do?," Did you confront your boyfriend? -> thankfully no. I just suck at that

kay"
Well I get super jealous and angry of course.. But in the end it was just a work friend.. Oops!,"  -> Yeah, you can't help it when your best friend back asks for the job"
No.. I realized the mistake I made and took action so it never would happen again.,"  Even if it did, I wouldn't regret it. -> That's good, "
"He was very old, so I guess we were all expecting it.. He lived a good life!", -> im sorry to hear that. he was only 40. your dad did not stress out
My dog chewed a hole in my carpet 2 weeks ago.. I was very disgusted to say the least!, -> Tell your dog not to go over it in fear of people noticing. Dogsma trip
"Oh dang, I guess I can't complain too much then, that's brutal!"," -> It was actually pretty nice. They don't have those anymore.

Weve"
"Yea, I am like that, too. Did you apologize?",  -> I couldnt even begin to explain why viagra was necessary. I hope she
They must have been really happy., -> I'm glad there's someone like that out there for people. It helps them realize
That can really make you lose your faith in wanting to trust people,". -> I been bit by that before, why it's such a problem today?
"
"Well, it definitely makes you a little more realistic when you may be tempted to put someone on a pedestal. Not really fair to them *or* to yourself, is it?"," -> That is true, but I know I know it doesnt happen often enough. But,"
"As a kid, I was SO frightened any time there was a tornado warning. Not sure if it was the Wizard of Oz effect or what -- I just remember being frozen with fear.", -> I even had a rough time putting on a conch shell at sea. Never had
"That's the thing -- NO! I mean, there were some that were kind of close -- but NOTHING like what so many folks have to deal with. I just remember wanting a basement sooooo badly -- not something that's common where I grew up!"," Heck, I bought a house already, so I should see what it's like in the"
"Aw, poor little thing! How did you overcome this? Or, are you still afraid of them?", -> My son recently learned to train and play based on its instincts. I did not get
"My mom said the best thing once when I was babysitting and a tornado warning went off and I didn't want my own fear to affect the little boy I was with -- she was on the phone and just said ""You have big plans for the future, right? Nothing is going to get in the way of that."" For some reason, it worked a charm ;-)", -> In a way it's funny that mom would communicate that!  I love the ability
"I feel so bad when I think back to times that I got angry and yelled at my kids for no real good reason -- just a combination of the day's events and feeling irritated, really.", I guess me and my kids can look forward to the day when we get it out of
"Yes! THAT I feel good about! Making a point to use it as an opportunity to talk. I've definitely used it when it comes to the way others might act -- emphasizing that it's not about *them*, it's really about the person and where they're at.", Shifting the conversation from a focus on mannerisms to something which can be used to help
I have a pretty bad vision so i'm so scared to drive at night,. What have you done to attempt to be safe? -> I just bought a blindz
"Yeah, that can be annoying especially in Walmart since so many people go there. It stresses you out when you don't need it to.", I have felt like I have had to use it even though it wasn't needed in the
"that is why I am scared to have kids, that sounds terrible",! -> It ended up not being so bad. I only had to let them down once
I studied so hard for my bar exam so that I could become a lawyer. I prepared for almost 3 months straight!," -> Wow, that must've been so hard! How did it turn out?

"
no.. i love him. but he can be such a punk sometimes," -> High heels can't be as much fun as high running shoes.

Or gardening"
People just don't seem to pay attention when they are in a hurry.," -> That is true

Pay attention when you're in traffic! for less stress!"
I am familiar with that.  That is frustrating.," -> Yes, it is. I always keep trying different places.

Now with BF"
"Like stuff falling off shelfes because a dog runs into them! Hah, crazy I know.", I guess it's PTSD in a lot of the packs! Sweet. They make me feel
Its not fun being reminded of things you've forgotten., The more you experience it the easier it gets -> That is true more and more people are
"That's not very fair, a kind reminder could've gone a long way."," -> This is especially hard on him now because school matters so much.

-but"
I hate the sight of someone throwing up. My nephew did that the other and day and man., It was disgusting! -> Yeah I would have fastened my legs! Lol I asked my
"My mother in law got to eat Qdoba today, one of my favorite places I haven't had in awhile",". -> That's too bad. Qdoba is one of my favorites!

"
No way. queso all the way! They don't have one near by but she was traveling and the airport up north did.,"

Big mistake though! I would have to move plates from her new parked car to"
My wife went to Germany to attend a language course at the end of June.  I've been mostly spending time with my dogs while she's been gone since we recently moved and I don't really know anyone outside of work.,  It's a very rare opportunity for me to be able to do as I want to
What type of dog is it?," -> Doggies are so magical, even the ghosts don't scare me these days

"
"This morning my husband received a call, he got nervous, I think it was a woman ... difficult"," to say'

 errmobile etc. -> Ah, nice, I'm sorry that"
I'm sorry :( I do hope things can be worked out, for you guys eventually~  -> yah thats really hard for me because she way cool
I assume you don't get to see them often?, -> i rarely see them! i am hoping the baby will move back to them soon so
"Yeah, we moved away a few months after the wedding for my wife to go to Graduate school."," As it turns out, she already knew of her father, which gave her more cultural fitting"
"Yesterday, a difficult day, the anniversary of the death of my mother",",  -> I'm so sorry to hear that. Did you know her well?
"
